exponent,min_runtime_new,min_runtime_old
476,7.130001904442906e-06,7.327999628614634e-05
477,7.739989086985588e-06,7.234000077005476e-05
478,7.470007403753698e-06,7.177999941632152e-05
479,8.039991371333599e-06,7.180999091360718e-05
480,6.340007530525327e-06,7.3029994382523e-05
481,6.980000762268901e-06,6.915000267326832e-05
482,6.649992428719997e-06,6.831000791862607e-05
483,7.33000342734158e-06,6.640999345108867e-05
484,6.8699882831424475e-06,7.43200071156025e-05
485,7.430004188790917e-06,7.363999611698091e-05
486,7.110997103154659e-06,7.865999941714108e-05
487,8.000002708286047e-06,7.053100853227079e-05
488,6.740010576322675e-06,7.190898759290576e-05
489,7.451002602465451e-06,7.348900544457138e-05
490,7.320006261579692e-06,7.369001104962081e-05
491,7.800001185387373e-06,7.347999780904502e-05
492,7.230002665892243e-06,7.359999290201813e-05
493,7.72000930737704e-06,7.205999281723052e-05
494,7.76999513618648e-06,7.136000203900039e-05
495,7.969996659085155e-06,7.162000110838562e-05
496,6.880000000819564e-06,7.237000681925565e-05
497,7.33000342734158e-06,7.230999472085387e-05
498,7.089998689480126e-06,7.234999793581665e-05
499,7.700000423938036e-06,7.19900126568973e-05
500,7.290989742614329e-06,7.499998901039362e-05
501,7.709997589699924e-06,7.496000034734607e-05
502,7.700000423938036e-06,7.526000263169408e-05
503,8.210001396946609e-06,7.577000360470265e-05
504,7.3799892561510205e-06,7.522999658249319e-05
505,7.719994755461812e-06,7.532000017818063e-05
506,7.659997208975255e-06,7.573000038973987e-05
507,8.150003850460052e-06,7.574999472126365e-05
508,7.719994755461812e-06,7.391000690404326e-05
509,7.809998351149261e-06,7.650999759789556e-05
510,8.16000101622194e-06,7.919000927358866e-05
511,8.620001608505845e-06,8.032000914681703e-05
512,5.859998054802418e-06,8.045999857131392e-05
513,6.190006388351321e-06,7.605999417137355e-05
514,6.239992217160761e-06,7.9720004578121e-05
515,6.790010957047343e-06,8.072999480646104e-05
516,6.320013199001551e-06,8.127999899443239e-05
517,6.790010957047343e-06,7.960999209899455e-05
518,6.689995643682778e-06,7.540998922195286e-05
519,7.1499962359666824e-06,7.52199994167313e-05
520,6.229995051398873e-06,7.834000280126929e-05
521,6.660004146397114e-06,7.852000999264419e-05
522,6.570000550709665e-06,7.934999302960932e-05
523,7.2699913289397955e-06,0.00010689999908208847
524,6.471003871411085e-06,8.374899334739894e-05
525,6.980000762268901e-06,8.24799935799092e-05
526,6.839996785856783e-06,0.00010392999683972448
527,7.64000287745148e-06,0.00010480001219548285
528,6.210000719875097e-06,8.090000483207405e-05
529,6.710004527121782e-06,8.171999070327729e-05
530,6.579997716471553e-06,7.86400050856173e-05
531,7.170005119405687e-06,8.056999649852514e-05
532,6.699992809444666e-06,8.125999011099339e-05
533,7.260008715093136e-06,8.06299940450117e-05
534,7.010006811469793e-06,8.078999235294759e-05
535,7.5699936132878065e-06,8.091000199783593e-05
536,6.670001312159002e-06,8.203000470530242e-05
537,7.239999831654131e-06,8.122999861370772e-05
538,5.430993041954935e-06,5.596000119112432e-05
539,7.509006536565721e-06,6.792900967411697e-05
540,6.839996785856783e-06,7.588999869767576e-05
541,6.860005669295788e-06,7.649000326637179e-05
542,7.299997378140688e-06,7.942999945953488e-05
543,7.659997208975255e-06,7.870000263210386e-05
544,5.85000088904053e-06,7.615999493282288e-05
545,6.310001481324434e-06,7.651999476365745e-05
546,6.229995051398873e-06,7.718999404460192e-05
547,6.749993190169334e-06,7.799000013619661e-05
548,6.190006388351321e-06,7.889000698924065e-05
549,6.639995262958109e-06,7.868000830058008e-05
550,6.620000931434333e-06,7.918999472167343e-05
551,6.960006430745125e-06,8.109999180305749e-05
552,7.020003977231681e-06,8.560999413020909e-05
553,6.999995093792677e-06,8.474999049212784e-05
554,7.1499962359666824e-06,8.656999852973968e-05
555,7.890004781074822e-06,8.389099093619734e-05
556,7.219990948215127e-06,8.62909946590662e-05
557,7.870999979786575e-06,8.537100802641362e-05
558,7.709997589699924e-06,8.721000631339848e-05
559,8.389994036406279e-06,8.834000618662685e-05
560,7.099995855242014e-06,8.648999209981412e-05
561,7.319991709664464e-06,8.675000572111458e-05
562,7.0499954745173454e-06,8.830000297166407e-05
563,8.089991752058268e-06,8.704999345354736e-05
564,7.520007784478366e-06,8.960999548435211e-05
